Attribute name	Int. Data	Description
fps	PID	The number of Frames Per Second of the video
fulltitle	SID	The full title of the content, as written by the creator
height	PID	Height of the video in pixels
id	PID	Unique video identifier; this is the code that appears in a Youtube URL
is_live	SID	Whether this video is a live stream that goes on instead of a fixed-length video. (optional)
license	SID + PID	 Licence name the video is licenced under. (optional)
like_count	SID	 Number of positive ratings of the video (optional)
location	SID	 Physical location where the video was filmed as set by the creator (optional)
playlist	SID	Name of the playlist the video is part of
playlist_id	PID	Unique ID of the playlist
playlist_index	SID + PID	Order number of this video in the playlist it belongs to
playlist_title	SID	Title of the playlist
playlist_uploader	SID	Name of account that uploaded the playlist
playlist_uploader_id	PID	Unique ID of the account that uploaded the playlist
release_date	SID	 The date (YYYYMMDD) when the video was released. (optional)
repost_count	SID	 Number of reposts of the video (optional)
resolution	PID	The video resolution, e.g. 144p
start_time	SID	 Time in seconds where the reproduction should start, as specified in the URL. (optional)
stretched_ratio	PID	Whether the video proportions should be kept intact or the video should be resized
subtitles.*	[SID]	 The available subtitles as a dictionary in the format {tag: subformats}. 'tag' is usually a language code, and 'subformats' is a list sorted from lower to higher preference
subtitles.*.[LL].data	SID + PID	 The subtitles file contents (optional), where [LL] is a two-letter label identifying the language using ISO 639-1 format
subtitles.*.[LL].ext	PID	The extension of the subtitle track format (e.g. SRV3), where [LL] is a two-letter label identifying the language using ISO 639-1 format
subtitles.*.[LL].url	PID	 A URL pointing to the subtitles file (optional), where [LL] is a two-letter label identifying the language using ISO 639-1 format
tags.*	SID	 A list of strings each one representing a tag assigned to the video, e.g. ['sweden', 'pop music'] by the creator  (optional)
thumbnail	PID	 Full URL to a video thumbnail image.
thumbnails.*	[PID]	 An array of JSON objects containing details for the preview thumbnails
thumbnails.0.filesize	PID	The size of the thumbnail file in KB
thumbnails.0.height	PID	Height of the thumbnail in pixels
thumbnails.0.id	PID	Thumbnail format internal ID
thumbnails.0.preference	PID	Quality of the image using internal descriptions
thumbnails.0.resolution	PID	Resolution of the video in the format '{width}x{height'}, deprecated)
thumbnails.0.url	PID	Direct link to the thumbnail image
thumbnails.0.width	PID	Width of the thumbnail in pixels
timestamp	PID	 UNIX timestamp of the moment the video became available. (optional)
title	SID	 Video title as written by the creator
upload_date	SID + PID	 Video upload date (YYYYMMDD). If not explicitly set, calculated from timestamp. (optional)
uploader	SID	 Full name of the video uploader. (optional)
uploader_id	PID	Unique ID of the video uploader. (optional)
uploader_url	SID	 Full URL to a personal webpage of the video uploader. (optional)
vbr	PID	Average video bitrate in KBit/s
vcodec	PID	Name of the video codec in use
view_count	AID	 How many users have watched the video on the platform. (optional)
webpage_url	SID	 The URL to the video webpage, if given to youtube-dl it should allow to get the same result again. (It will be set by YoutubeDL if it's missing) (e.g. 'http://www.ted.com/talks/dan_dennett_on_our_consciousness.html'
webpage_url_basename	SID	The name of the web page contained in the webpage_url data-point, e.g. 'http://www.ted.com/talks/dan_dennett_on_our_consciousness.html'
width	PID	Width of the video in pixels
