Attribute name	Int. Data	Description
node.owner.edge_mutual_followed_by.*	CID + SID	An array of JSON objects containing details about the accounts that are mutually followed by both the content’s creator and the account collecting the data
node.owner.edge_mutual_followed_by.count	CID + SID + PID	The number of accounts followed both by the user’s account and the account collecting the data
node.owner.edge_mutual_followed_by.edges.*	CID + SID	An array of JSON objects containing details about the mutually followed accounts, structured as the collected user’s account
node.owner.edge_related_profiles.*	[PID]	An array of JSON objects containing details about accounts related to the user’s account according to Instagram’s algorithm.
node.owner.edge_related_profiles.edges.0.node.full_name	SID	Full name of the account, as indicated by the user
node.owner.edge_related_profiles.edges.0.node.id	PID	Unique ID of the account
node.owner.edge_related_profiles.edges.0.node.is_private	SID	Whether the account is private or not
node.owner.edge_related_profiles.edges.0.node.is_verified	SID	Whether the account is verified or not
node.owner.edge_related_profiles.edges.0.node.profile_pic_url	PID	The direct link to the account’s profile picture
node.owner.edge_related_profiles.edges.0.node.username	SID	The full username of the account
node.owner.external_url	SID	External URL (i.e. non-Instagram) linked to the creator’s account
node.owner.external_url_linkshimmed	PID	External URL (i.e. non-Instagram) linked to the creator’s account transformed using Instagram internal referral services
node.owner.fbid	PID	The unique Facebook ID linked to the user’s Instagram account
node.owner.followed_by_viewer	CID	Whether the account collecting the data follows the account that created the post
node.owner.follows_viewer	CID + SID	Whether the account follows the account that collected the data
node.owner.full_name	SID	Full name of the account,
node.owner.guardian_id	PID	The unique ID of the account acting as guardian of the user’s account
node.owner.has_ar_effects	SID	Whether the account has contents where AR (Augmented Reality) effects are used (see note)
node.owner.has_blocked_viewer	CID + SID	Whether the user has blocked the account collecting the data
node.owner.has_channel	SID	Whether the user has an Instagram Channel
node.owner.has_clips	SID	Whether the user has content labelled as 'clips'
node.owner.has_guides	SID	Whether the user has content labelled as 'guides'
node.owner.has_requested_viewer	CID + SID	Whether the user has requested to follow the account collecting the data
node.owner.hide_like_and_view_counts	SID	Whether the number of likes and views the user has received should be shown or not (this is chosen by the user in their account’s preferences)
node.owner.highlight_reel_count	SID	Number of Highlight Reels the user has
node.owner.id	PID	The unique ID of the user’s account
node.owner.is_business_account	SID	Whether the user’s account is set as a business account or not
node.owner.is_eligible_to_view_account_transparency	SID	Whether the user’s account has been authenticated or not (see description)
node.owner.is_embeds_disabled	SID	Whether the owner has blocked the embedding of the contents outside of Instagram
node.owner.is_guardian_of_viewer	SID	Whether the user’s account is a guardian of another account
node.owner.is_joined_recently	SID	Whether the user’s account has been recently created or not
node.owner.is_private	SID	Whether the user’s account is private or not
node.owner.is_professional_account	SID	Whether the user’s account is set as a professional account or not
node.owner.is_supervised_by_viewer	CID + SID	Whether the user’s account is supervised by the account collecting the data
node.owner.is_supervised_user	SID	Whether the user’s account is supervised by a guardian or not
node.owner.is_supervision_enabled	SID	Whether the user’s account is supervised by another account
node.owner.is_verified	SID	Whether the user’s account is verified or not
node.owner.location_transparency_country	SID	The label of the country (in ISO 3166-1 code) where the creator is from, as indicated by the creator themselves
node.owner.overall_category_name	SID + PID	The name of the category – unregarding of the business status – the user belongs to (selected from a predefined list of items)
node.owner.profile_pic_url	PID	Direct link to the user’s profile picture in standard resolution
node.owner.profile_pic_url_hd	PID	Direct link to the user’s profile picture in high resolution
node.owner.pronouns	SID	The preferred pronouns as indicated by the owner of the account
node.owner.requested_by_viewer	CID + SID	Whether the account collecting the data has requested to follow the the user’s account
node.owner.restricted_by_viewer	CID	Whether the account that created the post is restricted by the account collecting the data
node.owner.should_show_category	SID	Whether the user’s account category (node.owner.category_name) should be publicly visible
node.owner.should_show_public_contacts	SID	Whether the user’s account contacts should be publicly visible
node.owner.state_controlled_media_country	PID	Whether the user’s account is from a country where news media are controlled by the government (see description)
node.owner.transparency_label	PID	Label referring to the transparency measures adopted by Facebook and Instagram (see description)
node.owner.transparency_product	PID	Details regarding the transparency measures adopted by Facebook and Instagram (see description)
node.owner.username	SID	The username of the user’s account
node.pinned_for_users.*	[SID]	An array of JSON objects containing details about users that have 'pinned' (i.e. bookmarked) the content. The objects have the same structure as the user’s account (node.owner.*)
node.sensitivity_friction_info.*	[SID + PID]	A JSON object containing information as to whether the contents have been marked (either by the user or by Instagram) as ‘sensitive’
node.sharing_friction_info.*	[SID + PID]	A JSON object containing information as to whether the sharing of the post should be inhibited
node.sharing_friction_info.bloks_app_url	unknown	[Unknown: no data was found containing this value and it was not possible to determine its type nor its possible values]
node.sharing_friction_info.should_have_sharing_friction	SID+ PID	Whether the post can be shared or not
node.shortcode	PID	Short unique ID of the content, contained in the direct link to the post in the format https://instagram.com/p/SHORTCODE/
node.taken_at_timestamp	SID + PID	The timestamp indicating the date and time of publication of the content
node.thumbnail_resources.*	[PID]	An array of JSON objects containing details about the different preview thumbnails automatically created by Instagram (one object for each thumbnail)
node.thumbnail_resources.0.config_height	PID	The height (in pixels) of the preview thumbnail
node.thumbnail_resources.0.config_width	PID	The width (in pixels) of the preview thumbnail
node.thumbnail_resources.0.src	PID	The direct link to the preview thumbnail
node.thumbnail_src	PID	The direct link to the post’s original content (picture or video) from which Instagram derives the preview thumbnails
node.tracking_token	PID	A string of text representing the token (i.e. the key) used by Instagram to track internal and external interactions with the content
